TAGNAME,TIME,SUNANGLE,VALUE,Latitude,Longitude,Temp 2m,Dewpoint 2m,Pressure,Precipitation,GHI,DHI,BNI,Location,Date,Time,Date.1,Timestamp,Year,hours
Main Optic,18-06-2023 21:57,-1.10318366,1.0,60.741,-0.795,9.997659262,5.676481,101897.9903,0.0,0.0,0.0,0.0,Balta_Sound,18-06-2023 00:00,21:57:31,18-06-2023,00:00:00,2023.0,21.95861111
Main Optic,18-06-2023 07:10,28.34354164,0.0,60.741,-0.795,10.21573741,6.152924621,101583.139,1.08884e-05,356.1034761,182.0354333,324.1862726,Balta_Sound,18-06-2023 00:00,07:10:31,18-06-2023,00:00:00,2023.0,7.175277778
Main Optic,17-06-2023 22:06,-1.485445335,1.0,60.741,-0.795,10.70407924,9.083416573,101243.6421,7.84409e-05,0.0,0.0,0.0,Balta_Sound,17-06-2023 00:00,22:06:31,17-06-2023,00:00:00,2023.0,22.10861111
Main Optic,17-06-2023 02:35,0.074595818,0.0,60.741,-0.795,11.08516108,8.681773637,100768.2116,0.0,62.79556469,41.59468386,125.141072,Balta_Sound,17-06-2023 00:00,02:35:23,17-06-2023,00:00:00,2023.0,2.589722222
Main Optic,16-06-2023 21:54,-1.026081816,1.0,60.741,-0.795,11.30690794,8.929338448,100727.4736,0.0,0.0,0.0,0.0,Balta_Sound,16-06-2023 00:00,21:54:34,16-06-2023,00:00:00,2023.0,21.90944444
Main Optic,16-06-2023 03:43,5.172336198,0.0,60.741,-0.795,11.07884406,9.733941245,100368.8664,6.32203e-05,39.70528411,39.70528411,0.0,Balta_Sound,16-06-2023 00:00,03:43:17,16-06-2023,00:00:00,2023.0,3.721388889
Main Optic,15-06-2023 21:11,1.376213962,1.0,60.741,-0.795,10.41320282,7.856469369,101031.1158,8.82271e-05,0.793085778,0.793085778,0.0,Balta_Sound,15-06-2023 00:00,21:11:29,15-06-2023,00:00:00,2023.0,21.19138889
Main Optic,15-06-2023 02:53,1.201986402,0.0,60.741,-0.795,8.377269177,2.660148779,101483.0609,9.69831e-07,51.83517047,51.78741453,0.743999278,Balta_Sound,15-06-2023 00:00,02:53:49,15-06-2023,00:00:00,2023.0,2.896944444
Main Optic,14-06-2023 21:36,-0.214711372,1.0,60.741,-0.795,9.49201771,6.432633804,101070.7926,8.03016e-05,0.0,0.0,0.0,Balta_Sound,14-06-2023 00:00,21:36:24,14-06-2023,00:00:00,2023.0,21.60666667
Main Optic,14-06-2023 03:02,1.783206045,0.0,60.741,-0.795,10.62280097,8.627811459,100819.9412,3.63984e-05,17.37407281,17.37407281,0.0,Balta_Sound,14-06-2023 00:00,03:02:23,14-06-2023,00:00:00,2023.0,3.039722222
Main Optic,13-06-2023 21:40,-0.483033006,1.0,60.741,-0.795,10.76423704,8.889140447,101081.4887,1.21182e-06,0.0,0.0,0.0,Balta_Sound,13-06-2023 00:00,21:40:37,13-06-2023,00:00:00,2023.0,21.67694444
Main Optic,13-06-2023 04:16,8.256363403,0.0,60.741,-0.795,10.45091648,8.445851763,101542.4479,0.000455219,27.44942022,27.44942022,0.0,Balta_Sound,13-06-2023 00:00,04:16:17,13-06-2023,00:00:00,2023.0,4.271388889
Main Optic,12-06-2023 21:31,-0.025562932,1.0,60.741,-0.795,10.15363228,7.03025047,101763.24,3.67554e-05,0.0,0.0,0.0,Balta_Sound,12-06-2023 00:00,21:31:10,12-06-2023,00:00:00,2023.0,21.51944444
Main Optic,12-06-2023 02:50,0.890656294,0.0,60.741,-0.795,10.38475787,6.49244997,100734.4127,7.03341e-05,68.92484333,54.24228083,88.94866,Balta_Sound,12-06-2023 00:00,02:50:30,12-06-2023,00:00:00,2023.0,2.841666667
Main Optic,11-06-2023 21:16,0.806900246,1.0,60.741,-0.795,10.76316618,8.195470971,100722.7953,1.65577e-05,0.501727389,0.501727389,0.0,Balta_Sound,11-06-2023 00:00,21:16:34,11-06-2023,00:00:00,2023.0,21.27611111
Main Optic,11-06-2023 03:18,2.945384183,0.0,60.741,-0.795,11.98526958,9.989290156,100233.2344,0.000261001,30.64172578,28.61290967,22.99754867,Balta_Sound,11-06-2023 00:00,03:18:52,11-06-2023,00:00:00,2023.0,3.314444444
Main Optic,10-06-2023 20:26,4.60899116,1.0,60.741,-0.795,11.98521255,10.98756823,100452.8779,0.000715243,8.165442444,8.165442444,0.0,Balta_Sound,10-06-2023 00:00,20:26:52,10-06-2023,00:00:00,2023.0,20.44777778
Main Optic,10-06-2023 03:14,2.518128316,0.0,60.741,-0.795,11.89314906,10.99563736,100925.9182,6.04909e-05,22.3471215,22.3471215,0.0,Balta_Sound,10-06-2023 00:00,03:14:06,10-06-2023,00:00:00,2023.0,3.235
Main Optic,09-06-2023 20:32,4.024143833,1.0,60.741,-0.795,12.06223609,11.08161875,100971.1684,2.17794e-05,0.139648667,0.139648667,0.0,Balta_Sound,09-06-2023 00:00,20:32:36,09-06-2023,00:00:00,2023.0,20.54333333
Main Optic,09-06-2023 03:11,2.299219899,0.0,60.741,-0.795,11.24778165,9.840489759,101473.5643,0.0,27.55246958,26.33464956,11.72850042,Balta_Sound,09-06-2023 00:00,03:11:59,09-06-2023,00:00:00,2023.0,3.199722222
Main Optic,08-06-2023 21:32,-0.369612939,1.0,60.741,-0.795,10.94440692,10.02713886,101619.6948,1.64953e-07,0.0,0.0,0.0,Balta_Sound,08-06-2023 00:00,21:32:39,08-06-2023,00:00:00,2023.0,21.54416667
Main Optic,08-06-2023 03:36,4.279906243,0.0,60.741,-0.795,10.69774899,9.77521049,101902.9108,0.0,27.663165,27.663165,0.0,Balta_Sound,08-06-2023 00:00,03:36:33,08-06-2023,00:00:00,2023.0,3.609166667
Main Optic,07-06-2023 21:38,-0.727869461,1.0,60.741,-0.795,10.76422471,9.569852564,102029.7238,0.0,0.0,0.0,0.0,Balta_Sound,07-06-2023 00:00,21:38:06,07-06-2023,00:00:00,2023.0,21.635
Main Optic,07-06-2023 02:49,0.536824694,0.0,60.741,-0.795,10.19891198,9.509144499,102393.7492,0.0,55.77949875,47.16903486,67.15961514,Balta_Sound,07-06-2023 00:00,02:49:05,07-06-2023,00:00:00,2023.0,2.818055556
Main Optic,06-06-2023 21:30,-0.418382357,1.0,60.741,-0.795,10.51397066,9.777973865,102425.7319,0.0,0.0,0.0,0.0,Balta_Sound,06-06-2023 00:00,21:30:39,06-06-2023,00:00:00,2023.0,21.51083333
Main Optic,06-06-2023 03:28,3.486114037,0.0,60.741,-0.795,9.772007676,9.119927475,102076.6318,0.0,25.24254717,23.99675394,15.67195617,Balta_Sound,06-06-2023 00:00,03:28:58,06-06-2023,00:00:00,2023.0,3.482777778
Main Optic,05-06-2023 21:02,1.302322948,1.0,60.741,-0.795,10.02513253,9.398383378,102150.8836,0.0,0.121923222,0.121923222,0.0,Balta_Sound,05-06-2023 00:00,21:02:02,05-06-2023,00:00:00,2023.0,21.03388889
Main Optic,05-06-2023 02:58,1.005811309,0.0,60.741,-0.795,9.950591682,9.015627683,102368.8137,0.0,93.99613944,42.36743581,310.4023944,Balta_Sound,05-06-2023 00:00,02:58:11,05-06-2023,00:00:00,2023.0,2.969722222
Main Optic,04-06-2023 21:38,-1.010001844,1.0,60.741,-0.795,10.38457923,8.90019367,102366.3515,0.0,0.0,0.0,0.0,Balta_Sound,04-06-2023 00:00,21:38:56,04-06-2023,00:00:00,2023.0,21.64888889
Main Optic,04-06-2023 03:06,1.529636446,0.0,60.741,-0.795,11.46425316,9.252558174,101992.7969,1.20624e-07,20.38199417,20.36241456,0.155498667,Balta_Sound,04-06-2023 00:00,03:06:34,04-06-2023,00:00:00,2023.0,3.109444444
Main Optic,03-06-2023 21:41,-1.237963356,1.0,60.741,-0.795,11.03298396,9.574891661,102088.3331,0.0,0.0,0.0,0.0,Balta_Sound,03-06-2023 00:00,21:41:58,03-06-2023,00:00:00,2023.0,21.69944444
Main Optic,03-06-2023 02:55,0.649772117,0.0,60.741,-0.795,10.78856202,8.635745122,102290.5045,0.0,74.2621365,52.02330683,131.7591707,Balta_Sound,03-06-2023 00:00,02:55:27,03-06-2023,00:00:00,2023.0,2.924166667
Main Optic,02-06-2023 21:39,-1.196727689,1.0,60.741,-0.795,10.85052628,8.675146695,102421.9547,0.0,0.0,0.0,0.0,Balta_Sound,02-06-2023 00:00,21:39:08,02-06-2023,00:00:00,2023.0,21.65222222
Main Optic,02-06-2023 02:16,-1.565117998,0.0,60.741,-0.795,9.293592209,8.162129823,102159.7335,0.0,5.100287083,4.789902361,4.254675278,Balta_Sound,02-06-2023 00:00,02:16:35,02-06-2023,00:00:00,2023.0,2.276388889
Main Optic,01-06-2023 21:33,-1.031242985,1.0,60.741,-0.795,9.354023863,8.055156003,102139.6712,0.0,0.0,0.0,0.0,Balta_Sound,01-06-2023 00:00,21:33:42,01-06-2023,00:00:00,2023.0,21.56166667
Main Optic,01-06-2023 03:30,3.128888314,0.0,60.741,-0.795,9.15720692,7.667196062,101863.8838,1.3869e-06,90.26415056,40.810397,170.8779368,Balta_Sound,01-06-2023 00:00,03:30:04,01-06-2023,00:00:00,2023.0,3.501111111
