TAGNAME,TIME,SUNANGLE,VALUE,Latitude,Longitude,Temp 2m,Dewpoint 2m,Pressure,Precipitation,GHI,DHI,BNI,Location,Date,Time,Date.1,Timestamp,Year,hours
Optic Main,30-06-2023 03:49,3.811742025,0,59.39,-2.382,10.65143277,9.481834784,102013.958,4.02177E-06,27.761499,27.761499,0,North_Ronaldsay,30-06-2023 00:00,03:49:03,30-06-2023,00:00:00,2023,3.8175
Optic Main,30-06-2023 03:30,2.888697241,0,59.854,-1.276,10.80330413,8.860669977,101922.4712,1.24052E-06,96.71536889,82.61596,48.99935333,Sumburgh_Head,30-06-2023 00:00,03:30:40,30-06-2023,00:00:00,2023,3.511111111
Main Optic,30-06-2023 02:59,1.235128934,0,60.741,-0.795,10.73937513,7.730220301,101943.7611,1.24142E-08,51.62428017,51.62428017,0,Balta_Sound,30-06-2023 00:00,02:59:21,30-06-2023,00:00:00,2023,2.989166667
Light,30-06-2023 02:40,-1.954774954,0,59.122,-5.816,10.53451131,7.930154198,102137.4897,1.62406E-05,18.57470883,18.3253535,3.247317333,North_Rona,30-06-2023 00:00,02:40:42,30-06-2023,00:00:00,2023,2.678333333
Main optic,30-06-2023 02:20,-1.525086366,0,59.998,-1.159,10.84687282,9.358372763,101893.0569,1.64351E-07,5.193955667,5.170076333,0.348691778,Mousa,30-06-2023 00:00,02:20:04,30-06-2023,00:00:00,2023,2.334444444
Light,29-06-2023 22:16,-2.109426445,1,59.122,-5.816,10.9916158,8.996078104,102213.5973,7.20082E-06,0,0,0,North_Rona,29-06-2023 00:00,22:16:42,29-06-2023,00:00:00,2023,22.27833333
Main optic,29-06-2023 21:49,-1.225959939,1,59.998,-1.159,10.95014222,9.718150662,101911.7764,4.55962E-07,0,0,0,Mousa,29-06-2023 00:00,21:49:54,29-06-2023,00:00:00,2023,21.83166667
Main Optic,29-06-2023 21:38,-0.232289424,1,60.741,-0.795,11.0956152,9.370873208,101991.0769,0,0,0,0,Balta_Sound,29-06-2023 00:00,21:38:05,29-06-2023,00:00:00,2023,21.63472222
Optic Main,29-06-2023 21:36,-0.632153217,1,59.854,-1.276,10.99659469,9.808060308,101971.6817,6.19759E-07,0,0,0,Sumburgh_Head,29-06-2023 00:00,21:36:46,29-06-2023,00:00:00,2023,21.61277778
Light,29-06-2023 21:29,0.086331757,1,59.086,-4.407,10.93424651,8.172332622,102196.1013,1.70785E-05,0.628531333,0.628531333,0,Sule_Skerry,29-06-2023 00:00,21:29:18,29-06-2023,00:00:00,2023,21.48833333
Light,29-06-2023 21:16,0.416377483,1,58.85,-3.014,10.81899982,9.063226778,101916.7689,2.20317E-05,0.190372083,0.190372083,0,Flotta_Grinds_Buoy,29-06-2023 00:00,21:16:45,29-06-2023,00:00:00,2023,21.27916667
Optic Main,29-06-2023 21:05,1.44079927,1,59.39,-2.382,10.98015158,9.882920788,102066.472,9.23516E-06,0.480428889,0.480428889,0,North_Ronaldsay,29-06-2023 00:00,21:05:20,29-06-2023,00:00:00,2023,21.08888889
ML1 Status,29-06-2023 21:01,-2.399918232,1,50.535,-5.034,14.07944632,12.67629058,101322.8448,0,0,0,0,Trevose,29-06-2023 00:00,21:01:14,29-06-2023,00:00:00,2023,21.02055556
ML1 Status,29-06-2023 20:53,-1.956909815,1,49.961,-5.203,14.5572565,12.96862846,101622.2426,1.83417E-07,0,0,0,Lizard,29-06-2023 00:00,20:53:07,29-06-2023,00:00:00,2023,20.88527778
ML1 Status,29-06-2023 20:45,-1.053502251,1,51.2,-4.202,14.78228987,13.36998522,101334.9379,5.02942E-07,0,0,0,BullPointPost,29-06-2023 00:00,20:45:11,29-06-2023,00:00:00,2023,20.75305556
ML1 Status,29-06-2023 20:44,-0.819073617,1,49.868,-6.435,14.87509138,12.36394903,101896.466,0,0,0,0,BishopRock,29-06-2023 00:00,20:44:09,29-06-2023,00:00:00,2023,20.73583333
ML1 Status,29-06-2023 20:44,-1.002916803,1,49.935,-5.801,14.49247857,12.59496171,101799.6711,0,0,0,0,WolfRock,29-06-2023 00:00,20:44:00,29-06-2023,00:00:00,2023,20.73333333
Main Optic,29-06-2023 19:52,8.273062361,1,58.672,-3.377,11.11041607,8.291748058,101683.637,1.19677E-05,1.629283333,1.629283333,0,Dunnet_Head,29-06-2023 00:00,19:52:55,29-06-2023,00:00:00,2023,19.88194444
Main Status,29-06-2023 19:48,5.576916904,1,50.235,-5.401,14.20805045,12.66448955,101470.8452,0,0.73598,0.73598,0,Godrevy,29-06-2023 00:00,19:48:00,29-06-2023,00:00:00,2023,19.8
ML1 Status,29-06-2023 08:11,34.66055309,0,50.535,-5.034,15.45205656,13.78507166,101152.256,2.67354E-05,456.980545,245.5865171,337.8868202,Trevose,29-06-2023 00:00,08:11:11,29-06-2023,00:00:00,2023,8.186388889
ML1 Status,29-06-2023 05:50,12.84694464,1,50.535,-5.034,15.12817672,13.87993606,101105.9412,5.27268E-05,215.7744832,185.7447667,59.69996139,Trevose,29-06-2023 00:00,05:50:55,29-06-2023,00:00:00,2023,5.848611111
Main Optic,29-06-2023 05:40,15.23021536,0,58.672,-3.377,11.50334125,9.830208525,101479.1784,5.39929E-05,46.87840917,46.87840917,0,Dunnet_Head,29-06-2023 00:00,05:40:54,29-06-2023,00:00:00,2023,5.681666667
Main Status,29-06-2023 05:33,9.904421455,0,50.235,-5.401,15.03478709,13.83756034,101241.8014,0.000147302,55.61733,55.61733,0,Godrevy,29-06-2023 00:00,05:33:00,29-06-2023,00:00:00,2023,5.55
ML1 Status,29-06-2023 04:50,3.674115421,0,49.935,-5.801,14.94118155,13.63435028,101524.6798,2.29821E-06,47.43283956,47.43283956,0,WolfRock,29-06-2023 00:00,04:50:28,29-06-2023,00:00:00,2023,4.841111111
ML1 Status,29-06-2023 04:45,4.505183811,0,51.2,-4.202,14.84766521,13.30568767,101095.5549,6.52619E-06,38.12762167,38.12762167,0,BullPointPost,29-06-2023 00:00,04:45:24,29-06-2023,00:00:00,2023,4.756666667
ML1 Status,29-06-2023 04:34,1.388520469,0,49.868,-6.435,15.09051632,12.99663654,101653.8673,1.96819E-06,32.06747075,32.06747075,0,BishopRock,29-06-2023 00:00,04:34:57,29-06-2023,00:00:00,2023,4.5825
Light,29-06-2023 04:23,6.219557877,0,59.086,-4.407,11.39893527,10.13987741,101896.7907,8.29566E-05,17.1800755,17.1800755,0,Sule_Skerry,29-06-2023 00:00,04:23:18,29-06-2023,00:00:00,2023,4.388333333
ML1 Status,29-06-2023 04:22,0.56011644,0,49.961,-5.203,14.90204656,13.91476554,101287.5939,2.15646E-06,20.65961406,20.65294133,0.056885889,Lizard,29-06-2023 00:00,04:22:22,29-06-2023,00:00:00,2023,4.372777778
ML1 Status,29-06-2023 04:14,0.078731924,0,50.535,-5.034,14.58391158,13.79357736,101024.1697,8.01341E-06,10.81116086,10.81116086,0,Trevose,29-06-2023 00:00,04:14:17,29-06-2023,00:00:00,2023,4.238055556
Optic Main,29-06-2023 04:04,6.03082054,0,59.854,-1.276,10.94797583,9.433229396,101653.6426,1.9254E-05,22.8247555,22.8247555,0,Sumburgh_Head,29-06-2023 00:00,04:04:18,29-06-2023,00:00:00,2023,4.071666667
